admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Kalurkot,PK60403,Bhakkar,PK604,Punjab,PK6,Pakistan,PK,347552.00
Kamalia,PK63502,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK,371851.00
Kambar Ali Khan,PK81501,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK,395206.00
Kamoke,PK60902,Gujranwala,PK609,Punjab,PK6,Pakistan,PK,581444.00
Kan Mehtarzai,PK71602,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,33240.00
Kandiaro,PK81302,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK,446079.00
Kanhdkot,PK80801,Kashmore,PK808,Sindh,PK8,Pakistan,PK,366484.00
Kanraj,PK71805,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,12387.00
Karachi Central,PK80703,Karachi City,PK807,Sindh,PK8,Pakistan,PK,2971626.00
Karachi East,PK80705,Karachi City,PK807,Sindh,PK8,Pakistan,PK,5364486.00
Karachi South,PK80704,Karachi City,PK807,Sindh,PK8,Pakistan,PK,1791751.00
Karachi West,PK80702,Karachi City,PK807,Sindh,PK8,Pakistan,PK,3914757.00
Karak,PK21002,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK,293520.00
Karezat,PK72502,Pishin,PK725,Balochistan,PK7,Pakistan,PK,138280.00
Karor Lal Esan,PK61802,Layyah,PK618,Punjab,PK6,Pakistan,PK,594639.00
Kashmore,PK80802,Kashmore,PK808,Sindh,PK8,Pakistan,PK,434975.00
Kasur,PK61402,Kasur,PK614,Punjab,PK6,Pakistan,PK,1694983.00
Katlang,PK21701,Mardan,PK217,Khyber Pakhtunkhwa,PK2,Pakistan,PK,343144.00
Kazi Ahmed,PK81602,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK,348702.00
Kech,PK71204,Kech,PK712,Balochistan,PK7,Pakistan,PK,469344.00
Keti Bander,PK82203,Thatta,PK822,Sindh,PK8,Pakistan,PK,58832.00
Khairpur,PK80903,Khairpur,PK809,Sindh,PK8,Pakistan,PK,439563.00
Khairpur Nathan Shah,PK80203,Dadu,PK802,Sindh,PK8,Pakistan,PK,334258.00
Khanewal,PK61503,Khanewal,PK615,Punjab,PK6,Pakistan,PK,856793.00
Khangarh,PK80303,Ghotki,PK803,Sindh,PK8,Pakistan,PK,149008.00
Khanpur (Rahim Yar Khan),PK62801,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK,983415.00
Khanpur (Shikarpur),PK81702,Shikarpur,PK817,Sindh,PK8,Pakistan,PK,276283.00
Khar,PK23203,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK,247510.00
Kharan,PK71301,Kharan,PK713,Balochistan,PK7,Pakistan,PK,156152.00
Kharian,PK61002,Gujrat,PK610,Punjab,PK6,Pakistan,PK,1010912.00
Kharochan,PK82402,Sujawal,PK824,Sindh,PK8,Pakistan,PK,10235.00
Khipro,PK81402,Sanghar,PK814,Sindh,PK8,Pakistan,PK,333284.00
Khushab,PK61601,Khushab,PK616,Punjab,PK6,Pakistan,PK,807684.00
Khuzdar,PK71401,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK,354797.00
Khwazakhela,PK22207,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK,265571.00
Killa Abdullah,PK71502,Killa Abdullah,PK715,Balochistan,PK7,Pakistan,PK,262087.00
Killa Saifullah,PK71603,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK,132264.00
Kingri,PK80904,Khairpur,PK809,Sindh,PK8,Pakistan,PK,340218.00
Kohat,PK21101,Kohat,PK211,Khyber Pakhtunkhwa,PK2,Pakistan,PK,850336.00
